學校名稱,區域,縣市,高中職創立時間（創校時間）,學校地址,校地（公頃）,代碼,網址
私立屏榮高級中學,南區,屏東縣,1957年,屏東市民學路100號,3.4844,920,首頁
私立陸興高級中學,南區,屏東縣,1959年,屏東市廣東路150號,1.5493,913,首頁
私立美和高級中學,南區,屏東縣,1964年（1961年）,內埔鄉學人路323號,4.1544,914,首頁
屏東縣立枋寮高級中學,南區,屏東縣,2001年（1964年）,枋寮鄉義民路3號,7.4174,910,首頁
屏東縣立大同高級中學,南區,屏東縣,2001年（1968年）,屏東市和平路429號,7.7238,904,首頁
屏東縣立來義高級中學,南區,屏東縣,2002年（1967年）,來義鄉中正路147號,7.0109,915,首頁
國立屏北高級中學,南區,屏東縣,2004年,鹽埔鄉莒光路168號,8,905,首頁
屏東縣立東港高級中學,南區,屏東縣,2010年（1922年）,東港鎮船頭路1號,,,首頁
國立蘭陽女子高級中學,東區,宜蘭縣,1938年,宜蘭市女中路2號,4.5121,271,首頁
國立宜蘭高級中學,東區,宜蘭縣,1941年,宜蘭市復興路三段8號,7.9104,270,首頁
國立羅東高級中學,東區,宜蘭縣,1949年（1944年）,羅東鎮公正路324號,5.9758,283,首頁
私立中道高級中學,東區,宜蘭縣,1996年（1994年）,壯圍鄉功勞路12號,3.4875,273,首頁
宜蘭縣立南澳高級中學,東區,宜蘭縣,2000年（1962年）,南澳鄉蘇花路二段301號,2.0901,275,首頁
私立慧燈高級中學,東區,宜蘭縣,2000年（1997年）,員山鄉枕山路117之60號,6.5572,274,首頁
宜蘭縣立慈心華德福教育實驗高級中等學校,東區,宜蘭縣,2015年（1996年）,冬山鄉照安路257號,,276,首頁
國立花蓮女子高級中學,東區,花蓮縣,1927年,花蓮市菁華街2號,5.1436,931,首頁
國立花蓮高級中學,東區,花蓮縣,1936年,花蓮市民權路42號,6.8514,930,首頁
私立海星高級中學,東區,花蓮縣,1962年（1959年）,新城鄉嘉新路36號,4.7343,951,首頁
私立四維高級中學,東區,花蓮縣,1962年,花蓮市中山路一段200號,3.6948,950,首頁
國立玉里高級中學,東區,花蓮縣,1968年,玉里鎮中華路424號,11.5874,932,首頁
私立慈濟大學附屬高級中學,東區,花蓮縣,2000年,花蓮市介仁街176號,9.5121,958,首頁
花蓮縣立體育實驗高級中學,東區,花蓮縣,2001年,花蓮市達固湖灣大路21號,21.7236,949,首頁
國立臺東女子高級中學,東區,台東縣,1940年,臺東市四維路一段690號,7.551,934,首頁
國立臺東高級中學,東區,台東縣,1941年,臺東市中華路一段721號,7.77,933,首頁
私立育仁高級中學,東區,台東縣,1971年,臺東市中興路四段485號,4.3899,952,首頁
國立臺東大學附屬體育高級中學,東區,台東縣,1995年,臺東市中華路一段684號,32.9198,935,首頁
臺東縣立蘭嶼高級中學,東區,台東縣,1997年（1969年）,蘭嶼鄉椰油村37號,4.3569,936,首頁
國立馬公高級中學,離島,澎湖縣,1943年,馬公市中華路369號,6.181,770,首頁
國立金門高級中學,離島,金門縣,1951年,金城鎮光前路94號,9.7923,780,首頁
國立馬祖高級中學,離島,連江縣,1968年（1957年）,南竿鄉介壽村374號,2.8032,790,首頁
